GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "02998","Alaska (Metropolitan Portion)",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",174434,180170,189135,198700,203383,209835,227001,242110,245113,249399,249941,248359,256407,276766,303004,320565,335561,343594,338739,339009,341079,345829,357886,372813,379493,383700,383819,385486,388963,396194,400562,403623,410895,418677,424615,434288,441334,449263,453739,460185,469800,481305,485974,492208,497960,497287,498311,502056,500372,498119
 "02998","Alaska (Metropolitan Portion)",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",6029,6596,6848,7150,7641,9360,12445,13469,14055,13894,14478,16259,18195,21054,21122,21562,22014,21473,20750,21017,22740,23872,24203,24978,25894,26486,27104,27815,29307,30476,31212,33164,34860,36213,37378,38624,40817,43333,46414,50568,49400,51425,54315,54921,53448,56459,58438,56631,57273,60089
 "02999","Alaska (Nonmetropolitan Portion) *",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",523605,610518,688870,746005,953645,1078566,1331782,1632433,1636898,1770791,1928223,2246873,2487022,2906315,3113459,3208703,3578590,3687678,3589235,3942635,4354283,4587784,4743210,4958740,5180619,5350304,5552982,5680621,5877431,6040126,6173143,6692844,6916734,7084810,7368451,7564580,7943031,8258678,8779083,9554332,9688289,10542620,11432310,12136625,12244746,13033902,13349412,13104331,13357712,13886592
 "02999","Alaska (Nonmetropolitan Portion) *",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",121566,124158,127359,127794,129849,134861,143972,151005,152250,152792,153603,156956,162086,172840,185414,193139,196935,200675,200571,202975,206081,207461,212307,215923,219939,219608,220593,223083,224005,223738,224217,224340,222819,223660,223799,224998,225612,226039,226561,227270,229095,232601,236064,238191,239085,239020,239236,239448,239414,239319
 "02999","Alaska (Nonmetropolitan Portion) *",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4307,4917,5409,5838,7344,7998,9250,10810,10751,11590,12553,14315,15344,16815,16792,16613,18171,18376,17895,19424,21129,22114,22341,22965,23555,24363,25173,25464,26238,26996,27532,29833,31042,31677,32924,33621,35207,36537,38749,42040,42289,45325,48429,50953,51215,54531,55800,54727,55793,58025
 "04000","Arizona",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",6327071,7216133,8255566,9464649,10934211,12336094,13317758,14813181,16646785,19559610,22986621,26477610,30247056,32197364,35452604,40055602,44570307,48739358,52518393,56718429,60862489,63820979,67174577,71692129,77041009,84343667,91989409,99707638,108023079,118057588,124654410,135387478,141344453,146505245,155175020,169638742,188136505,209126960,220735917,223345839,211975307,215523641,226365302,236846094,242855587,257410031,271132762,282477649,299613018,317912916
 "04000","Arizona",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6407774,6473497,6556629,6634999,6733840,6833596,6945452,7048876,7171646
 "04000","Arizona",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3643,4020,4354,4711,5145,5546,5825,6309,6858,7768,8712,9671,10764,11141,11941,13060,14000,14733,15280,16044,16803,17323,17731,18309,18950,19869,20753,21737,22804,24176,24813,26235,26803,27149,28161,30012,32220,34686,35789,35563,33418,33635,34968,36123,36602,38226,39676,40671,42505,44329
 "04998","Arizona (Metropolitan Portion)",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5957054,6788147,7776365,8909799,10271491,11613781,12516051,13924500,15662347,18389812,21702284,25072348,28687796,30612282,33677513,38100734,42530913,46552120,50173448,54218200,58159718,60939763,64093376,68365701,73474737,80554291,88032460,95421771,103514302,113276108,119634794,130205470,135707323,140647480,148742890,162995027,180967028,201436211,212425136,214376030,202784532,206200948,216683879,227091634,232869084,246949767,260384688,271404721,287953698,305672768
 "04998","Arizona (Metropolitan Portion)",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",1587300,1642915,1734945,1843724,1953104,2044895,2103181,2158048,2232550,2317221,2430451,2526234,2598769,2674608,2738782,2836491,2951231,3071470,3193869,3287983,3368546,3425356,3525073,3646533,3787151,3959484,4137643,4285060,4428328,4570789,4708050,4841800,4955918,5076807,5188527,5328192,5510818,5695176,5828535,5937517,5997329,6061267,6126319,6210368,6288606,6386529,6487347,6597519,6700218,6820330
 "04998","Arizona (Metropolitan Portion)",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3753,4132,4482,4833,5259,5679,5951,6452,7015,7936,8929,9925,11039,11446,12297,13432,14411,15156,15709,16490,17266,17791,18182,18748,19401,20345,21276,22268,23375,24783,25411,26892,27383,27704,28668,30591,32839,35370,36446,36105,33812,34019,35369,36567,37030,38667,40137,41137,42977,44818
 "04999","Arizona (Nonmetropolitan Portion) *",6,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",370017,427986,479201,554850,662720,722313,801707,888681,984438,1169798,1284337,1405262,1559260,1585082,1775091,1954868,2039394,2187238,2344945,2500229,2702771,2881216,3081201,3326428,3566272,3789376,3956949,4285867,4508777,4781480,5019616,5182008,5637130,5857765,6432130,6643715,7169477,7690749,8310781,8969809,9190775,9322693,9681423,9754460,9986503,10460264,10748074,11072928,11659320,12240148
 "04999","Arizona (Nonmetropolitan Portion) *",6,CAINC1,2,"...","Population (persons) 1/","Number of persons",149700,151997,161163,165123,172177,179447,183167,189928,194760,200631,208131,211540,211339,215252,230142,230643,232308,236791,243234,247200,253638,258741,263503,269207,278289,285605,294856,301880,308662,312553,315773,318786,317559,319448,321837,324212,328259,333965,339146,342845,345825,346507,347178,346261,346393,347311,346249,347933,348658,351316
 "04999","Arizona (Nonmetropolitan Portion) *",6,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2472,2816,2973,3360,3849,4025,4377,4679,5055,5831,6171,6643,7378,7364,7713,8476,8779,9237,9641,10114,10656,11136,11693,12356,12815,13268,13420,14197,14607,15298,15896,16255,17751,18337,19986,20492,21841,23029,24505,26163,26576,26905,27886,28171,28830,30118,31041,31825,33441,34841
 "05000","Arkansas",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5128531,5626520,6263108,7071222,8376080,9353548,10292084,11378923,12661751,14668793,16087967,17388327,19702622,20702260,21934843,24458419,25982324,27303655,28434832,30505873,32721188,34457542,36459059,39714351,41648441,44288614,47164713,50047865,52507955,55736104,57973395,60969882,64168146,65661550,69547372,74032960,78000339,83068247,88508301,91812120,90246011,93290459,99571455,106984715,107240690,113545501,117180599,120059514,124683752,130296677
 "05000","Arkansas",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825
 "05000","Arkansas",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2681,2915,3176,3504,4069,4453,4769,5247,5736,6546,7090,7597,8592,9024,9513,10543,11165,11708,12139,13022,13946,14622,15299,16438,16956,17758,18602,19458,20187,21222,21861,22762,23840,24266,25524,26924,28047,29438,31070,31940,31153,31927,33863,36240,36235,38260,39343,40148,41520,43233
 "05998","Arkansas (Metropolitan Portion)",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2886330,3163284,3547893,4010217,4646566,5186609,5788576,6453588,7176036,8277008,9157269,10103694,11287173,11955300,12794044,14198948,15243297,16245214,17028054,18215512,19594094,20757555,21998691,24057548,25333390,26992407,28875240,30711861,32363006,34659533,36266241,38467638,40436113,41808478,44436909,47682157,51096860,54917667,58697666,60832228,59778356,61774466,66587047,72639528,72411653,77783928,81434168,84189126,87514075,91735469
 "05998","Arkansas (Metropolitan Portion)",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",969099,985114,1010861,1038830,1062502,1091626,1128827,1125798,1149177,1169031,1189147,1207317,1211918,1213768,1222358,1234365,1244120,1254605,1268833,1275736,1283754,1295381,1315114,1340286,1370445,1395493,1423796,1450905,1472514,1490631,1511813,1535494,1552508,1569914,1590978,1615123,1643453,1679530,1705469,1730162,1752814,1775554,1796243,1812767,1826335,1840325,1855534,1871701,1887782,1901584
 "05998","Arkansas (Metropolitan Portion)",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2978,3211,3510,3860,4373,4751,5128,5732,6245,7080,7701,8369,9313,9850,10467,11503,12252,12948,13420,14278,15263,16024,16728,17950,18486,19343,20280,21167,21978,23252,23989,25052,26046,26631,27931,29522,31091,32698,34417,35160,34104,34792,37070,40071,39649,42266,43887,44980,46358,48242
 "05999","Arkansas (Nonmetropolitan Portion) *",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2242201,2463236,2715215,3061005,3729514,4166939,4503508,4925335,5485715,6391785,6930698,7284633,8415449,8746960,9140799,10259471,10739027,11058441,11406778,12290361,13127094,13699987,14460368,15656803,16315051,17296207,18289473,19336004,20144949,21076571,21707154,22502244,23732033,23853072,25110463,26350803,26903479,28150580,29810635,30979892,30467655,31515993,32984408,34345187,34829037,35761573,35746431,35870388,37169677,38561208
