GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3866,4148,4377,4828,5390,5983,6532,7076,7787,8626,9573,10506,11593,12387,12935,14121,15026,15680,16536,17629,19013,19859,20596,21613,22229,22877,23718,24853,26015,27123,28427,30425,32374,33055,33784,35215,37208,38575,41279,42338,40667,42053,43465,44157,44744,46494,48554,49865,51236,54120
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",431016,470275,499206,535727,589763,647183,713117,795308,877132,965705,1066392,1139914,1230999,1283897,1331897,1414118,1511644,1597220,1658933,1743086,1888384,1999299,2092950,2237068,2350285,2456062,2549386,2689142,2832129,2974443,3086529,3216044,3255632,3347166,3473739,3645718,3780067,3905991,4093100,4240852,4288406,4439095,4684022,4808282,4800119,5001191,5232054,5283276,5439427,5725643
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",135488,135538,136999,137687,136556,136956,136611,136023,137015,137705,137966,136443,135457,135600,134397,132925,132253,131556,131712,131408,130546,130593,131160,131270,131661,132124,131802,131080,130931,130509,129757,128981,128471,127631,127353,127194,126730,127002,127048,127112,127161,127043,126959,126540,125835,125276,124585,123680,123175,122492
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3181,3470,3644,3891,4319,4725,5220,5847,6402,7013,7729,8355,9088,9468,9910,10638,11430,12141,12595,13265,14465,15309,15957,17042,17851,18589,19343,20515,21631,22791,23787,24934,25341,26225,27276,28663,29828,30755,32217,33363,33724,34942,36894,37998,38146,39921,41996,42717,44160,46743
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",556820,603484,657441,702455,819510,891605,1100596,1204978,1330264,1505057,1692963,1855393,2142554,2356454,2628888,2792319,2926895,2961570,3012867,3054730,3201986,3338739,3419313,3678063,3920092,4150926,4399764,4598530,4902690,5130577,5255937,5498336,6032585,6223104,6457721,6551667,6979629,7488900,8007872,8861933,8669319,9450943,10088683,10399720,10536513,11155041,11335189,11329760,11687486,12268352
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",170368,155258,158182,160557,161637,163395,165916,169368,173027,175670,181120,185546,188598,192559,195720,198910,199407,200618,200360,201069,199721,198488,200626,203371,207282,211306,217400,219808,222054,223545,226621,229215,230351,232326,235138,237566,240380,242656,244608,246458,249373,252677,255972,257821,258938,260874,261804,263327,264955,265947
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3268,3887,4156,4375,5070,5457,6633,7115,7688,8568,9347,10000,11360,12238,13432,14038,14678,14762,15037,15192,16032,16821,17043,18085,18912,19644,20238,20921,22079,22951,23193,23988,26189,26786,27464,27578,29036,30862,32738,35957,34764,37403,39413,40337,40691,42760,43296,43025,44111,46131
 "11180","Ames, IA (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",296995,325305,347900,389057,467046,497093,553277,594919,639474,773900,839150,920694,1017524,1071684,1129891,1234308,1308318,1364901,1435017,1481087,1627452,1704309,1781381,1886316,1929888,2096559,2191335,2364088,2502054,2618208,2714931,2866062,2931758,3040425,3159912,3337752,3436353,3707401,3937780,4181156,3982625,3955162,4285225,4770974,4583998,4778525,4930184,4985112,5112937,5416028
 "11180","Ames, IA (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",86911,89447,90583,92099,93216,94131,94174,95325,96351,97669,97790,98682,99140,98350,99213,99117,99559,99338,98466,99056,98820,99582,99832,100389,101141,101060,101721,102679,103856,104151,105536,106403,106509,107971,108300,109126,109384,111210,113093,114285,115645,115928,117414,118140,120162,122093,123058,123271,123736,124451
 "11180","Ames, IA (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3417,3637,3841,4224,5010,5281,5875,6241,6637,7924,8581,9330,10264,10897,11389,12453,13141,13740,14574,14952,16469,17115,17844,18790,19081,20746,21543,23024,24092,25139,25725,26936,27526,28160,29177,30586,31415,33337,34819,36585,34438,34117,36497,40384,38148,39138,40064,40440,41321,43519
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",802188,910435,1004489,1110361,1225781,1510511,2016802,2407760,2679418,2727115,2861807,3211582,3723866,4632735,5128428,5583720,5961447,5979180,5660841,5718140,6221162,6668663,7008195,7527293,7962980,8283282,8443275,8710468,9293914,9854901,10208968,10923011,11781498,12454692,12994474,13740870,14688499,15821962,17127351,18933642,18897379,20208961,21395704,21920977,21653753,22897409,23762275,23115498,23274975,24329258
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,CAINC1,2,"...","Population (persons) 1/","Number of persons",129696,134230,141875,151010,155729,161355,175236,186127,189680,194074,195031,193839,199831,216861,237309,252265,264128,270074,265211,263645,263958,267762,277407,290307,296514,300188,301878,302606,306480,312895,317172,320618,326081,332582,337730,345245,350903,358718,360194,365633,374562,383045,387870,391903,397032,398031,398681,401373,400647,399148
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",6185,6783,7080,7353,7871,9361,11509,12936,14126,14052,14674,16568,18635,21363,21611,22134,22570,22139,21345,21689,23569,24905,25263,25929,26855,27594,27969,28785,30325,31496,32187,34069,36131,37448,38476,39800,41859,44107,47550,51783,50452,52759,55162,55935,54539,57527,59602,57591,58093,60953
